timestamp,hr_bpm,source,context
2025-07-28 09:31:34 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 09:33:16 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 09:40:17 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 09:43:09 -0700,56.0,Baris’s Apple Watch,Not Set
2025-07-28 09:48:49 -0700,59.0,Baris’s Apple Watch,Not Set
2025-07-28 09:52:56 -0700,56.71815872192383,Baris’s Apple Watch,Not Set
2025-07-28 09:54:56 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 10:01:57 -0700,54.0,Baris’s Apple Watch,Not Set
2025-07-28 10:03:12 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 10:10:56 -0700,64.0,Baris’s Apple Watch,Not Set
2025-07-28 10:15:44 -0700,59.0,Baris’s Apple Watch,Not Set
2025-07-28 10:21:36 -0700,50.0,Baris’s Apple Watch,Not Set
2025-07-28 10:27:57 -0700,51.0,Baris’s Apple Watch,Not Set
2025-07-28 10:29:44 -0700,53.0,Baris’s Apple Watch,Not Set
2025-07-28 10:35:30 -0700,49.0,Baris’s Apple Watch,Not Set
2025-07-28 10:40:59 -0700,47.0,Baris’s Apple Watch,Not Set
2025-07-28 10:43:54 -0700,49.0,Baris’s Apple Watch,Not Set
2025-07-28 10:48:39 -0700,50.0,Baris’s Apple Watch,Not Set
2025-07-28 10:54:47 -0700,52.0,Baris’s Apple Watch,Not Set
2025-07-28 10:59:34 -0700,52.0,Baris’s Apple Watch,Not Set
2025-07-28 11:03:08 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:08:27 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:13:11 -0700,52.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:18:29 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:20:08 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 11:27:16 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:29:30 -0700,54.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:33:31 -0700,52.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:39:28 -0700,54.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:47:01 -0700,54.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:50:31 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 11:52:55 -0700,56.46597671508789,Baris’s Apple Watch,Not Set
2025-07-28 11:55:07 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:00:02 -0700,51.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:07:22 -0700,49.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:08:56 -0700,49.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:16:01 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:20:50 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:25:55 -0700,53.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:28:21 -0700,52.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:31:02 -0700,53.0,Baris’s Apple Watch,Not Set
2025-07-28 12:33:08 -0700,56.0,Baris’s Apple Watch,Sedentary
2025-07-28 12:40:52 -0700,61.0,Baris’s Apple Watch,Not Set
2025-07-28 12:43:55 -0700,70.0,Baris’s Apple Watch,Not Set
